desc_link,desc_link/_text,desc_link/_title,desc_link_numbers,partnum_number,main_price,fasttrack_image,fasttrack_image/_alt,wasprice_value,wasprice_price,saveprice_value,saveprice_value_prices,customerrating_link,customerrating_link/_text,customerrating_link/_title,customerrating_image,customerrating_image/_alt,customerrating_number,specialoffercount_value,specialoffercount_value_numbers,image_1,image_1/_alt,image_2,image_2/_alt,image_3,image_3/_alt,image_4,image_4/_alt,image_5,image_5/_alt,image_6,image_6/_alt,delivery_value,addtotrolley_link,addtotrolley_link/_text,addtotrolley_link/_title,buyorreserve_link,buyorreserve_link/_text,buyorreserve_link/_title,image_link,image_link/_text,image_link/_title,image_7,image_7/_alt,ordering_value_1,ordering_value_2,compare_label
"http://www.argos.co.uk/static/Product/partNumber/5092109.htm","HP 15.6 Inch Intel Pentium 4GB 1TB Laptop - Red.","more details on HP 15.6 Inch Intel Pentium 4GB 1TB Laptop - Red.","15.6; 4; 1","5092109","299.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","399.99","Save 25%","","http://www.argos.co.uk/static/Product/partNumber/5092109.htm#pdpProductReviews","(586)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_5.gif","","586","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1392639&partNumber=5092109&quantity=1","Add To Trolley","Buy or Reserve HP 15.6 Inch Intel Pentium 4GB 1TB Laptop - Red.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1392639&partNumber=5092109&quantity=1","Buy or Reserve","Buy or Reserve HP 15.6 Inch Intel Pentium 4GB 1TB Laptop - Red.","http://www.argos.co.uk/static/Product/partNumber/5092109.htm","","more details on HP 15.6 Inch Intel Pentium 4GB 1TB Laptop - Red.","http://argos.scene7.com/is/image/Argos/5092109_R_SET?$Listers$","more details on HP 15.6 Inch Intel Pentium 4GB 1TB Laptop - Red.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4989488.htm","Lenovo Ideapad 100 15.6 Inch Intel Celeron 4GB 500GB Laptop.","more details on Lenovo Ideapad 100 15.6 Inch Intel Celeron 4GB 500GB Laptop.","100; 15.6; 4; 500","4989488","229.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","","","","","http://www.argos.co.uk/static/Product/partNumber/4989488.htm#pdpProductReviews","(89)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_4.gif","","89","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406613&partNumber=4989488&quantity=1","Add To Trolley","Buy or Reserve Lenovo Ideapad 100 15.6 Inch Intel Celeron 4GB 500GB Laptop.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406613&partNumber=4989488&quantity=1","Buy or Reserve","Buy or Reserve Lenovo Ideapad 100 15.6 Inch Intel Celeron 4GB 500GB Laptop.","http://www.argos.co.uk/static/Product/partNumber/4989488.htm","","more details on Lenovo Ideapad 100 15.6 Inch Intel Celeron 4GB 500GB Laptop.","http://argos.scene7.com/is/image/Argos/4989488_R_SET?$Listers$","more details on Lenovo Ideapad 100 15.6 Inch Intel Celeron 4GB 500GB Laptop.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/5063729.htm","HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Purple.","more details on HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Purple.","11; 2; 32","5063729","179.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","","","","","http://www.argos.co.uk/static/Product/partNumber/5063729.htm#pdpProductReviews","(33)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_8.gif","","33","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406595&partNumber=5063729&quantity=1","Add To Trolley","Buy or Reserve HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Purple.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406595&partNumber=5063729&quantity=1","Buy or Reserve","Buy or Reserve HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Purple.","http://www.argos.co.uk/static/Product/partNumber/5063729.htm","","more details on HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Purple.","http://argos.scene7.com/is/image/Argos/5063729_R_SET?$Listers$","more details on HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Purple.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/5091478.htm","Toshiba C55 15.6 Inch Celeron 4GB 1TB Laptop.","more details on Toshiba C55 15.6 Inch Celeron 4GB 1TB Laptop.","15.6; 4; 1","5091478","269.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","319.99","Save £50.00","50","http://www.argos.co.uk/static/Product/partNumber/5091478.htm#pdpProductReviews","(54)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_5.gif","","54","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399423&partNumber=5091478&quantity=1","Add To Trolley","Buy or Reserve Toshiba C55 15.6 Inch Celeron 4GB 1TB Laptop.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399423&partNumber=5091478&quantity=1","Buy or Reserve","Buy or Reserve Toshiba C55 15.6 Inch Celeron 4GB 1TB Laptop.","http://www.argos.co.uk/static/Product/partNumber/5091478.htm","","more details on Toshiba C55 15.6 Inch Celeron 4GB 1TB Laptop.","http://argos.scene7.com/is/image/Argos/5091478_R_SET?$Listers$","more details on Toshiba C55 15.6 Inch Celeron 4GB 1TB Laptop.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4119124.htm","Toshiba C40 14 Inch 2GB 32GB Laptop - Black","more details on Toshiba C40 14 Inch 2GB 32GB Laptop - Black","14; 2; 32","4119124","199.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","249.99","Save 20%","","http://www.argos.co.uk/static/Product/partNumber/4119124.htm#pdpProductReviews","(49)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_2.gif","","49","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1344402&partNumber=4119124&quantity=1","Add To Trolley","Buy or Reserve Toshiba C40 14 Inch 2GB 32GB Laptop - Black","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1344402&partNumber=4119124&quantity=1","Buy or Reserve","Buy or Reserve Toshiba C40 14 Inch 2GB 32GB Laptop - Black","http://www.argos.co.uk/static/Product/partNumber/4119124.htm","","more details on Toshiba C40 14 Inch 2GB 32GB Laptop - Black","http://argos.scene7.com/is/image/Argos/4119124_R_SET?$Listers$","more details on Toshiba C40 14 Inch 2GB 32GB Laptop - Black","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/5055713.htm","HP Pavilion x2 Intel Atom 10 Inch 2GB 32GB SSD 2-in-1 Laptop","more details on HP Pavilion x2 Intel Atom 10 Inch 2GB 32GB SSD 2-in-1 Laptop","10; 2; 32; 2; 1","5055713","199.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","229.99","Save £30.00","30","http://www.argos.co.uk/static/Product/partNumber/5055713.htm#pdpProductReviews","(40)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_4.gif","","40","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406591&partNumber=5055713&quantity=1","Add To Trolley","Buy or Reserve HP Pavilion x2 Intel Atom 10 Inch 2GB 32GB SSD 2-in-1 Laptop","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406591&partNumber=5055713&quantity=1","Buy or Reserve","Buy or Reserve HP Pavilion x2 Intel Atom 10 Inch 2GB 32GB SSD 2-in-1 Laptop","http://www.argos.co.uk/static/Product/partNumber/5055713.htm","","more details on HP Pavilion x2 Intel Atom 10 Inch 2GB 32GB SSD 2-in-1 Laptop","http://argos.scene7.com/is/image/Argos/5055713_R_SET?$Listers$","more details on HP Pavilion x2 Intel Atom 10 Inch 2GB 32GB SSD 2-in-1 Laptop","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4240048.htm","Asus 15.6 Inch X555LA Intel Core i3 8GB 1.5TB Laptop.","more details on Asus 15.6 Inch X555LA Intel Core i3 8GB 1.5TB Laptop.","15.6; 8; 1.5","4240048","359.99","","","Was","429.99","Save £70.00","70","http://www.argos.co.uk/static/Product/partNumber/4240048.htm#pdpProductReviews","(21)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_4.gif","","21","","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1323815&partNumber=4240048&quantity=1","Add To Trolley","Buy or Reserve Asus 15.6 Inch X555LA Intel Core i3 8GB 1.5TB Laptop.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1323815&partNumber=4240048&quantity=1","Buy or Reserve","Buy or Reserve Asus 15.6 Inch X555LA Intel Core i3 8GB 1.5TB Laptop.","http://www.argos.co.uk/static/Product/partNumber/4240048.htm","","more details on Asus 15.6 Inch X555LA Intel Core i3 8GB 1.5TB Laptop.","http://argos.scene7.com/is/image/Argos/4240048_R_SET?$Listers$","more details on Asus 15.6 Inch X555LA Intel Core i3 8GB 1.5TB Laptop.","Currently out of stock for delivery","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4875619.htm","Lenovo 15.6 Inch Ideapad 100 Intel Core i3 8GB 1TB Laptop.","more details on Lenovo 15.6 Inch Ideapad 100 Intel Core i3 8GB 1TB Laptop.","15.6; 100; 8; 1","4875619","299.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","399.99","Save 25%","","http://www.argos.co.uk/static/Product/partNumber/4875619.htm#pdpProductReviews","(15)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_5.gif","","15","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399479&partNumber=4875619&quantity=1","Add To Trolley","Buy or Reserve Lenovo 15.6 Inch Ideapad 100 Intel Core i3 8GB 1TB Laptop.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399479&partNumber=4875619&quantity=1","Buy or Reserve","Buy or Reserve Lenovo 15.6 Inch Ideapad 100 Intel Core i3 8GB 1TB Laptop.","http://www.argos.co.uk/static/Product/partNumber/4875619.htm","","more details on Lenovo 15.6 Inch Ideapad 100 Intel Core i3 8GB 1TB Laptop.","http://argos.scene7.com/is/image/Argos/4875619_R_SET?$Listers$","more details on Lenovo 15.6 Inch Ideapad 100 Intel Core i3 8GB 1TB Laptop.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/5158445.htm","Toshiba L50C 15.6 Inch Ci3 8GB 2TB Laptop.","more details on Toshiba L50C 15.6 Inch Ci3 8GB 2TB Laptop.","15.6; 8; 2","5158445","349.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","449.99","Save £100.00","100","http://www.argos.co.uk/static/Product/partNumber/5158445.htm#pdpProductReviews","(20)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","20","","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1411376&partNumber=5158445&quantity=1","Add To Trolley","Buy or Reserve Toshiba L50C 15.6 Inch Ci3 8GB 2TB Laptop.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1411376&partNumber=5158445&quantity=1","Buy or Reserve","Buy or Reserve Toshiba L50C 15.6 Inch Ci3 8GB 2TB Laptop.","http://www.argos.co.uk/static/Product/partNumber/5158445.htm","","more details on Toshiba L50C 15.6 Inch Ci3 8GB 2TB Laptop.","http://argos.scene7.com/is/image/Argos/5158445_R_SET?$Listers$","more details on Toshiba L50C 15.6 Inch Ci3 8GB 2TB Laptop.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4966171.htm","Asus X553MA 15.6 Inch Celeron 4GB 1TB Laptop.","more details on Asus X553MA 15.6 Inch Celeron 4GB 1TB Laptop.","15.6; 4; 1","4966171","279.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","","","","","http://www.argos.co.uk/static/Product/partNumber/4966171.htm#pdpProductReviews","(150)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_3.gif","","150","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1408373&partNumber=4966171&quantity=1","Add To Trolley","Buy or Reserve Asus X553MA 15.6 Inch Celeron 4GB 1TB Laptop.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1408373&partNumber=4966171&quantity=1","Buy or Reserve","Buy or Reserve Asus X553MA 15.6 Inch Celeron 4GB 1TB Laptop.","http://www.argos.co.uk/static/Product/partNumber/4966171.htm","","more details on Asus X553MA 15.6 Inch Celeron 4GB 1TB Laptop.","http://argos.scene7.com/is/image/Argos/4966171_R_SET?$Listers$","more details on Asus X553MA 15.6 Inch Celeron 4GB 1TB Laptop.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/5066496.htm","HP 15.6 Inch Intel Pentium 8GB 2TB Laptop - Red.","more details on HP 15.6 Inch Intel Pentium 8GB 2TB Laptop - Red.","15.6; 8; 2","5066496","349.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","449.99","Save £100.00","100","http://www.argos.co.uk/static/Product/partNumber/5066496.htm#pdpProductReviews","(336)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_6.gif","","336","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1392647&partNumber=5066496&quantity=1","Add To Trolley","Buy or Reserve HP 15.6 Inch Intel Pentium 8GB 2TB Laptop - Red.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1392647&partNumber=5066496&quantity=1","Buy or Reserve","Buy or Reserve HP 15.6 Inch Intel Pentium 8GB 2TB Laptop - Red.","http://www.argos.co.uk/static/Product/partNumber/5066496.htm","","more details on HP 15.6 Inch Intel Pentium 8GB 2TB Laptop - Red.","http://argos.scene7.com/is/image/Argos/5066496_R_SET?$Listers$","more details on HP 15.6 Inch Intel Pentium 8GB 2TB Laptop - Red.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4972275.htm","HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Blue.","more details on HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Blue.","11; 2; 32","4972275","179.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","","","","","http://www.argos.co.uk/static/Product/partNumber/4972275.htm#pdpProductReviews","(246)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_5.gif","","246","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406587&partNumber=4972275&quantity=1","Add To Trolley","Buy or Reserve HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Blue.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1406587&partNumber=4972275&quantity=1","Buy or Reserve","Buy or Reserve HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Blue.","http://www.argos.co.uk/static/Product/partNumber/4972275.htm","","more details on HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Blue.","http://argos.scene7.com/is/image/Argos/4972275_R_SET?$Listers$","more details on HP Stream Celeron 11 Inch 2GB 32GB SSD Laptop - Blue.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
