desc_link,desc_link/_text,desc_link/_title,desc_link_numbers,partnum_number,main_price,fasttrack_image,fasttrack_image/_alt,wasprice_value,wasprice_price,saveprice_value,saveprice_value_prices,customerrating_link,customerrating_link/_text,customerrating_link/_title,customerrating_image,customerrating_image/_alt,customerrating_number,specialoffercount_value,specialoffercount_value_numbers,image_1,image_1/_alt,image_2,image_2/_alt,image_3,image_3/_alt,image_4,image_4/_alt,image_5,image_5/_alt,image_6,image_6/_alt,delivery_value,addtotrolley_link,addtotrolley_link/_text,addtotrolley_link/_title,buyorreserve_link,buyorreserve_link/_text,buyorreserve_link/_title,image_link,image_link/_text,image_link/_title,image_7,image_7/_alt,ordering_value_1,ordering_value_2,compare_label
"http://www.argos.co.uk/static/Product/partNumber/2629410.htm","Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","more details on Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","4; 7; -8","2629410","99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","129","Save £30.00","30","http://www.argos.co.uk/static/Product/partNumber/2629410.htm#pdpProductReviews","(411)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","411","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1144030&partNumber=2629410&quantity=1","Add To Trolley","Buy or Reserve Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1144030&partNumber=2629410&quantity=1","Buy or Reserve","Buy or Reserve Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","http://www.argos.co.uk/static/Product/partNumber/2629410.htm","","more details on Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","http://argos.scene7.com/is/image/Argos/2629410_R_SET?$Listers$","more details on Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/2587473.htm","Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","more details on Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","4; 7; -8","2587473","99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","129","Save £30.00","30","http://www.argos.co.uk/static/Product/partNumber/2587473.htm#pdpProductReviews","(411)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","411","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1144040&partNumber=2587473&quantity=1","Add To Trolley","Buy or Reserve Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1144040&partNumber=2587473&quantity=1","Buy or Reserve","Buy or Reserve Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","http://www.argos.co.uk/static/Product/partNumber/2587473.htm","","more details on Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","http://argos.scene7.com/is/image/Argos/2587473_R_SET?$Listers$","more details on Samsung Galaxy Tab 4 7 Inch Tablet - 8GB.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/3142738.htm","Samsung Galaxy Tab E 9.6 Inch Tablet - Black.","more details on Samsung Galaxy Tab E 9.6 Inch Tablet - Black.","9.6","3142738","119","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","159.99","Save 25%","","http://www.argos.co.uk/static/Product/partNumber/3142738.htm#pdpProductReviews","(206)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","206","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1376365&partNumber=3142738&quantity=1","Add To Trolley","Buy or Reserve Samsung Galaxy Tab E 9.6 Inch Tablet - Black.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1376365&partNumber=3142738&quantity=1","Buy or Reserve","Buy or Reserve Samsung Galaxy Tab E 9.6 Inch Tablet - Black.","http://www.argos.co.uk/static/Product/partNumber/3142738.htm","","more details on Samsung Galaxy Tab E 9.6 Inch Tablet - Black.","http://argos.scene7.com/is/image/Argos/3142738_R_SET?$Listers$","more details on Samsung Galaxy Tab E 9.6 Inch Tablet - Black.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/3196100.htm","Samsung Galaxy Tab E 9.6 Inch Tablet - White.","more details on Samsung Galaxy Tab E 9.6 Inch Tablet - White.","9.6","3196100","119","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","159.99","Save 25%","","http://www.argos.co.uk/static/Product/partNumber/3196100.htm#pdpProductReviews","(240)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","240","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1376363&partNumber=3196100&quantity=1","Add To Trolley","Buy or Reserve Samsung Galaxy Tab E 9.6 Inch Tablet - White.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1376363&partNumber=3196100&quantity=1","Buy or Reserve","Buy or Reserve Samsung Galaxy Tab E 9.6 Inch Tablet - White.","http://www.argos.co.uk/static/Product/partNumber/3196100.htm","","more details on Samsung Galaxy Tab E 9.6 Inch Tablet - White.","http://argos.scene7.com/is/image/Argos/3196100_R_SET?$Listers$","more details on Samsung Galaxy Tab E 9.6 Inch Tablet - White.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4118338.htm","Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","more details on Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","9.7; -16","4118338","179","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","199.99","Save Over £20.00","20","http://www.argos.co.uk/static/Product/partNumber/4118338.htm#pdpProductReviews","(574)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_8.gif","","574","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1313827&partNumber=4118338&quantity=1","Add To Trolley","Buy or Reserve Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1313827&partNumber=4118338&quantity=1","Buy or Reserve","Buy or Reserve Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","http://www.argos.co.uk/static/Product/partNumber/4118338.htm","","more details on Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","http://argos.scene7.com/is/image/Argos/4118338_R_SET?$Listers$","more details on Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4147000.htm","Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","more details on Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","9.7; -16","4147000","179","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","199.99","Save Over £20.00","20","http://www.argos.co.uk/static/Product/partNumber/4147000.htm#pdpProductReviews","(574)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_8.gif","","574","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1313829&partNumber=4147000&quantity=1","Add To Trolley","Buy or Reserve Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1313829&partNumber=4147000&quantity=1","Buy or Reserve","Buy or Reserve Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","http://www.argos.co.uk/static/Product/partNumber/4147000.htm","","more details on Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","http://argos.scene7.com/is/image/Argos/4147000_R_SET?$Listers$","more details on Samsung Galaxy Tab A 9.7 Inch Tablet - 16GB.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4995403.htm","Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Midnight Blue.","more details on Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Midnight Blue.","2; 10; 16","4995403","109.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","149.99","Save £40.00","40","http://www.argos.co.uk/static/Product/partNumber/4995403.htm#pdpProductReviews","(207)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","207","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399623&partNumber=4995403&quantity=1","Add To Trolley","Buy or Reserve Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Midnight Blue.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399623&partNumber=4995403&quantity=1","Buy or Reserve","Buy or Reserve Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Midnight Blue.","http://www.argos.co.uk/static/Product/partNumber/4995403.htm","","more details on Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Midnight Blue.","http://argos.scene7.com/is/image/Argos/4995403_R_SET?$Listers$","more details on Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Midnight Blue.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4648774.htm","Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Pearl White.","more details on Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Pearl White.","2; 10; 16","4648774","109.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","149.99","Save £40.00","40","http://www.argos.co.uk/static/Product/partNumber/4648774.htm#pdpProductReviews","(207)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_7.gif","","207","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399625&partNumber=4648774&quantity=1","Add To Trolley","Buy or Reserve Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Pearl White.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1399625&partNumber=4648774&quantity=1","Buy or Reserve","Buy or Reserve Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Pearl White.","http://www.argos.co.uk/static/Product/partNumber/4648774.htm","","more details on Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Pearl White.","http://argos.scene7.com/is/image/Argos/4648774_R_SET?$Listers$","more details on Lenovo Tab 2 A10 HD 10 Inch 16GB Tablet- Pearl White.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4644091.htm","Acer Iconia One 8 Inch 16GB Wi-Fi Tablet.","more details on Acer Iconia One 8 Inch 16GB Wi-Fi Tablet.","8; 16","4644091","79.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","99.99","Save 20%","","http://www.argos.co.uk/static/Product/partNumber/4644091.htm#pdpProductReviews","(5)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_6.gif","","5","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1408278&partNumber=4644091&quantity=1","Add To Trolley","Buy or Reserve Acer Iconia One 8 Inch 16GB Wi-Fi Tablet.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1408278&partNumber=4644091&quantity=1","Buy or Reserve","Buy or Reserve Acer Iconia One 8 Inch 16GB Wi-Fi Tablet.","http://www.argos.co.uk/static/Product/partNumber/4644091.htm","","more details on Acer Iconia One 8 Inch 16GB Wi-Fi Tablet.","http://argos.scene7.com/is/image/Argos/4644091_R_SET?$Listers$","more details on Acer Iconia One 8 Inch 16GB Wi-Fi Tablet.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/5054903.htm","Acer Iconia One 10.1 Inch 16GB Tablet.","more details on Acer Iconia One 10.1 Inch 16GB Tablet.","10.1; 16","5054903","99.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","149.99","Save 1/3","","http://www.argos.co.uk/static/Product/partNumber/5054903.htm#pdpProductReviews","(25)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_6.gif","","25","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1401433&partNumber=5054903&quantity=1","Add To Trolley","Buy or Reserve Acer Iconia One 10.1 Inch 16GB Tablet.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1401433&partNumber=5054903&quantity=1","Buy or Reserve","Buy or Reserve Acer Iconia One 10.1 Inch 16GB Tablet.","http://www.argos.co.uk/static/Product/partNumber/5054903.htm","","more details on Acer Iconia One 10.1 Inch 16GB Tablet.","http://argos.scene7.com/is/image/Argos/5054903_R_SET?$Listers$","more details on Acer Iconia One 10.1 Inch 16GB Tablet.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/4447267.htm","Lenovo YOGA Tab 3 10 Inch 16GB Tablet.","more details on Lenovo YOGA Tab 3 10 Inch 16GB Tablet.","3; 10; 16","4447267","149.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","199.99","Save 25%","","http://www.argos.co.uk/static/Product/partNumber/4447267.htm#pdpProductReviews","(27)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_4.gif","","27","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1407791&partNumber=4447267&quantity=1","Add To Trolley","Buy or Reserve Lenovo YOGA Tab 3 10 Inch 16GB Tablet.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1407791&partNumber=4447267&quantity=1","Buy or Reserve","Buy or Reserve Lenovo YOGA Tab 3 10 Inch 16GB Tablet.","http://www.argos.co.uk/static/Product/partNumber/4447267.htm","","more details on Lenovo YOGA Tab 3 10 Inch 16GB Tablet.","http://argos.scene7.com/is/image/Argos/4447267_R_SET?$Listers$","more details on Lenovo YOGA Tab 3 10 Inch 16GB Tablet.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/3463606.htm","Lenovo YOGA Tab 3 8 Inch 16GB Tablet.","more details on Lenovo YOGA Tab 3 8 Inch 16GB Tablet.","3; 8; 16","3463606","129.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","149.99","Save £20.00","20","http://www.argos.co.uk/static/Product/partNumber/3463606.htm#pdpProductReviews","(10)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-4_6.gif","","10","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1407789&partNumber=3463606&quantity=1","Add To Trolley","Buy or Reserve Lenovo YOGA Tab 3 8 Inch 16GB Tablet.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1407789&partNumber=3463606&quantity=1","Buy or Reserve","Buy or Reserve Lenovo YOGA Tab 3 8 Inch 16GB Tablet.","http://www.argos.co.uk/static/Product/partNumber/3463606.htm","","more details on Lenovo YOGA Tab 3 8 Inch 16GB Tablet.","http://argos.scene7.com/is/image/Argos/3463606_R_SET?$Listers$","more details on Lenovo YOGA Tab 3 8 Inch 16GB Tablet.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
"http://www.argos.co.uk/static/Product/partNumber/3385203.htm","Lenovo YOGA Tab 3 Pro 10"" 32GB Tablet w/ Built-In Projector.","more details on Lenovo YOGA Tab 3 Pro 10"" 32GB Tablet w/ Built-In Projector.","3; 10; 32","3385203","349.99","http://www.argos.co.uk/wcsstore/argos/en_GB/siteAssets/images/fasttrack_icon.png","Fast Track","Was","399.99","Save £50.00","50","http://www.argos.co.uk/static/Product/partNumber/3385203.htm#pdpProductReviews","(13)","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/rating/stars/rating-3_9.gif","","13","+ 4 special offers","4","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/green_arrow.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_collection_disabled.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/grey_arrow.gif","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_grey.png","","http://www.argos.co.uk/wcsstore/argos/en_GB/images/icon_delivery_disabled.png","","+ Free Delivery","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1379009&partNumber=3385203&quantity=1","Add To Trolley","Buy or Reserve Lenovo YOGA Tab 3 Pro 10"" 32GB Tablet w/ Built-In Projector.","http://www.argos.co.uk/webapp/wcs/stores/servlet/ArgosProductPurchaseNoJS?storeId=10151&langId=110&catalogId=25051&URL=OrderItemDisplay&errorViewName=ArgosGenericErrorView&catEntryId=1379009&partNumber=3385203&quantity=1","Buy or Reserve","Buy or Reserve Lenovo YOGA Tab 3 Pro 10"" 32GB Tablet w/ Built-In Projector.","http://www.argos.co.uk/static/Product/partNumber/3385203.htm","","more details on Lenovo YOGA Tab 3 Pro 10"" 32GB Tablet w/ Built-In Projector.","http://argos.scene7.com/is/image/Argos/3385203_R_SET?$Listers$","more details on Lenovo YOGA Tab 3 Pro 10"" 32GB Tablet w/ Built-In Projector.","Order now for delivery <span>within <span>2 days</span></span>","Reserve to collect in store","Compare"
